id	slug	title	parent_id
1	0	Корень рубрикатора	0
2	A	Искусство	1
3	AB	Искусство: общие вопросы	2
4	ABA	Теория искусства	3
5	ABC	Консервация, реставрация и сохранность произведений искусствa	3
6	ABK	Подделка, фальсификация и кража произведений искусств	3
7	ABQ	Искусство: финансовые аспекты	3
8	AC	История искусств / Стили в искусстве и дизайне	2
9	ACB	Стили безотносительно даты	8
10	ACBK	Традиционное искусство отдельных регионов, народов	9
11	ACBN	Наивное искусство	9
12	ACBP	Восточное искусство	9
13	ACBS	Колониальное искусство	9
14	ACC	История искусств: предыстория	8
15	ACG	Древнее и классическое искусство, период: до НЭ - 500 г. НЭ	8
16	ACK	Византийское и средневековое искусство с 500г. до 1400г.	8
17	ACN	История стилей в искусстве и дизайне: с 1400 по 1600	8
18	ACND	Искусство эпохи Возрождения	17
19	ACNH	Стили в искусстве и дизайне: маньеризм	17
20	ACQ	История стилей в искусстве и дизайне: с 1600 по 1800	8
21	ACQB	Стили в искусстве и дизайне: барокко	20
22	ACQH	Стили в искусстве и дизайне: классицизм	20
23	ACV	История стилей в искусстве и дизайне: с 1800 по 1900	8
24	ACVC	Романтизм	23
25	ACVM	Прерафаэлиты	23
26	ACVN	Декоративно-прикладное искусство	23
27	ACVT	Импрессионизм и постимпрессионизм	23
28	ACVY	Модерн / Ар нуво	23
29	ACX	История стилей в искусстве и дизайне: с 1900	8
30	ACXD	Искусство и стили: с 1900 по 1960	29
31	ACXD1	Экспрессионизм	30
32	ACXD2	Модернизм и Баухауз	30
33	ACXD3	Ар Деко	30
34	ACXD5	Кубизм	30
35	ACXD7	Сюрреализм и дадаизм	30
36	ACXD9	Абстрактный экспрессионизм	30
37	ACXJ	Искусство и стили: c 1960	29
38	ACXJ1	Поп-арт (массовое искусство)	37
39	ACXJ4	Минимализм	37
40	ACXJ5	Абстракционизм	37
41	ACXJ8	Постмодернизм	37
42	AF	Искусство: техника исполнения	2
43	AFC	Живопись и живописные полотна	42
44	AFCC	Акварель	43
45	AFCL	Масло	43
46	AFCR	Иконопись	43
47	AFF	Рисование и рисунки	42
48	AFFA	Карикатура, шарж	47
49	AFH	Книжная графика и печать	42
50	AFJ	Другие виды графики	42
51	AFJD	Коллаж и фотомонтаж	50
52	AFJF	Аэрография	50
53	AFJG	Граффити и уличное искусство	50
54	AFK	Неграфические виды искусства	42
55	AFKB	Скульптура	54
56	AFKC	Художественная резьба: предметы искусства	54
57	AFKG	Драг.металлы и драгоценные камни: предметы искусства и дизайн	54
58	AFKN	Искусство инсталляции	54
59	AFKP	Зрелищные виды искусства, перфоманс	54
60	AFKV	Электроника, голография и видео	54
61	AFP	Керамика, гончарное дело, стекло	42
62	AFPC	Керамика: предметы искусства	61
63	AFPM	Мозаика: предметы искусства	61
64	AFPS	Цветное стекло / Витражи: предметы искусства	61
65	AFT	Декоративно-прикладное искусство	42
66	AFTB	Народные промыслы	65
67	AFW	Текстиль	42
68	AFWD	Текстиль: ковры, пледы и т.п.	67
69	AFWH	Текстиль: гобелены, драпировки, стеганные и лоскутные изделия	67
70	AFY	Боди-арт и татуирование	42
71	AG	Трактовки и темы	2
72	AGB	Отдельные деятели искусства; монографии по искусству	71
73	AGC	Выставочные каталоги и специфические коллекции	71
74	AGH	Изображение человеческих фигур в искусстве	71
75	AGHF	Портрет в искусстве	74
76	AGHN	Обнаженная натура	74
77	AGHX	Эротика	74
78	AGK	Мелкомасштабные, светские и домашние сцены в искусстве	71
79	AGN	Животные и природа в искусстве	71
80	AGNB	Искусство ботаники	79
81	AGP	Рукотворные объекты в искусстве (панорамы городов, машины и т.д.)	71
82	AGR	Религия в искусстве	71
83	AGZ	Искусство: техника исполнения, методы, основы	71
84	AJ	Фотоискусство и фотография	2
85	AJB	Фотографы (индивидуальные)	84
86	AJC	Фотография: коллекции	84
87	AJCP	Фотография: портреты	86
88	AJCR	Фоторепортажи	86
89	AJCX	Фото: эротика и обнаженная натура	86
90	AJG	Фотооборудование и фототехника	84
91	AJR	Специальные виды фотографии	84
92	AJRD	Кинематография, телевидение (операторские работы)	91
93	AJRH	Видео	91
94	AJRK	Аэрофотосъемка	91
95	AK	Промышленно-коммерческое искусство и дизайн	2
96	AKB	Дизайнеры (индивидуальные)	95
97	AKC	Графический дизайн	95
98	AKD	Книгопечатание и оформление (шрифты, тиснение и т.д.)	95
99	AKL	Иллюстрации и промышленное искусство	95
100	AKLB	Иллюстрации	99
101	AKLC	Комиксы и искусство мультипликации	99
102	AKLC1	Работы ""Манга"" и графические новеллы	101
103	AKLP	Искусство плаката	99
104	AKP	Дизайн продукции	95
105	AKR	Дизайн мебели	95
106	AKT	Мода и текстиль: дизайн	95
107	AKTA	Мода и дизайн: теория	106
108	AKTH	История моды	106
109	AKTX	Текстиль: дизайн и теория	106
110	AM	Архитектура	2
111	AMA	Теория архитектуры	110
112	AMB	Отдельные архитекторы и фирмы	110
113	AMC	Архитектура: структура и дизайн	110
114	AMCR	Ландшафтная архитектура и дизайн	113
115	AMD	Архитектура: профессиональная практика	110
116	AMG	Гражданские, коммерческие, промышленные, и т.д. сооружения	110
117	AMGC	Концертные залы, арены, стадионы	116
118	AMGD	Мемориалы, монументы	116
119	AMK	Резиденции, жилые строения	110
120	AMKD	Дома, апартаменты, квартиры и т.д.	119
121	AMKH	Дворцы, замки, усадьбы, особняки	119
122	AMKL	Замки и фортификационные сооружения	119
123	AMN	Религиозные сооружения (соборы, храмы, церкви и т.п.)	110
124	AMR	Профессиональный дизайн интерьеров	110
125	AMV	Архитектура и искусство ландшафта	110
126	AMVD	Градостроительство: планирование и архитектура	125
127	AMX	История архитектуры	110
128	AN	Театр	2
129	ANB	Театр: отдельные актеры и режиссеры	128
130	ANC	Актерское мастерство	128
131	ANF	Театр: руководство и постановки	128
132	ANH	Театр: техническое и сопутствующее мастерство	128
133	ANS	Театр: менеджмент	128
134	AP	Кино, TV и радио	2
135	APB	Отдельные актеры и исполнители	134
136	APF	Фильмы, киноискусство	134
137	APFA	Теория кино и кинокритика	136
138	APFB	Создатели фильмов, режиссеры, продюсеры и т.п.	136
139	APFD	Фильмы: тексты и сценарии	136
140	APFG	Фильмы: путеводители и обзоры	136
141	APFN	Фильмы: стили и жанры	136
142	APFR	Хроникально-документальное кино	136
143	APFV	Мультипликационное (анимационное) кино	136
144	APFX	Производство фильмов: технологии и сопутствующее мастерство	136
145	APT	Телевидение	134
146	APTD	Тексты и сценарии для TV-программ	145
147	APTS	TV-сериалы, ""мыльные оперы""	145
148	APTX	Телевизионные программы: технологии и сопутствующее мастерство	145
149	APW	Радио	134
150	APWD	Тексты бесед для радиопередач	149
151	AS	Танцы и другие виды зрелищного искусства	2
152	ASD	Танец	151
153	ASDC	Хореография	152
154	ASDL	Балет	152
155	ASDR	Бальные танцы	152
156	ASDT	Современный танец	152
157	ASDX	Народные танцы	152
158	ASZ	Другие виды сценического искусства	151
159	ASZC	Пантомима	158
160	ASZD	Уличный театр	158
161	ASZG	Заклинания и магия	158
162	ASZH	Варьете, мюзик-холл, кабаре	158
163	ASZJ	Жонглирование	158
164	ASZM	Кукольные представления, театр миниатюр	158
165	ASZP	Карнавалы, маскарады, парады, фестивали	158
166	ASZW	Цирк	158
167	ASZX	Представления с участием животных	158
168	AV	Музыка	2
169	AVA	Теория и история музыки	168
170	AVC	Музыка: Обзоры и критика	168
171	AVD	Каталоги/справочники: записи и покупатели	168
172	AVG	Музыка: стили и жанры	168
173	AVGC	Западная ""классическая"" музыка	172
174	AVGC1	Ранняя ( до 1000г.)	173
175	AVGC2	Средневековье и эпоха возрождения (с 1000г. по 1600г.)	173
176	AVGC3	Барокко (с 1600г. по 1750г.)	173
177	AVGC4	Классическая музыка (с 1750г. по 1830г.)	173
178	AVGC5	Романтическая музыка (с 1830г. по 1900г.)	173
179	AVGC6	20-й век и современная классическая музыка	173
180	AVGC8	Хоровая музыка	173
181	AVGC9	Опера	173
182	AVGD	Духовная и религиозная музыка	172
183	AVGE	Не-западная музыка: традиционная и классическая	172
184	AVGF	Легкая оркестровая и инструментальная музыка	172
185	AVGG	Духовой оркестр, военная музыка и марши	172
186	AVGH	Народная и традиционная музыка	172
187	AVGJ	Джаз	172
188	AVGK	Блюз	172
189	AVGL	Музыка ""Кантри"" и ""Вестерн""	172
190	AVGM	Мюзиклы, музыкальные театры	172
191	AVGN	Легкая музыка, музыка для широкой аудитории	172
192	AVGP	Рок- и поп-музыка	172
193	AVGQ	""Соул"" и R 'n' B	172
194	AVGR	Рэп и Хип-Хоп	172
195	AVGS	Рэгги	172
196	AVGT	Хэви Металл	172
197	AVGU	Панк, Новая волна и Инди	172
198	AVGV	Электронная музыка	172
199	AVGW	Мировая музыка	172
200	AVGZ	Эмбиентная музыка и музыка нового поколения	172
201	AVH	Композиторы и музыканты, отдельные группы и коллективы	168
202	AVQ	Партитуры, либретто и тексты к музыкальным произведениям	168
203	AVQS	Песенники	202
204	AVR	Музыкальные инструменты и инструментальные ансамбли	168
205	AVRB	Оркестры	204
206	AVRD	Камерные ансамбли	204
207	AVRG	Клавишные инструменты	204
208	AVRJ	Ударные инструменты	204
209	AVRL	Струнные инструменты	204
210	AVRL1	Гитара	209
211	AVRN	Духовые инструменты	204
212	AVRQ	Механические музыкальные инструменты	204
213	AVRS	Электронные музыкальные инструменты	204
214	AVS	Музыка: Техника и учебники	168
215	AVX	Музыка: Запись и воспроизведение	168
216	B	Биографии и реальные истории	1
217	BG	Биография:  общее направление	216
218	BGA	Автобиография: общие	217
219	BGB	Биография: бизнес и промышленность	217
220	BGBA	Автобиография: бизнес и промышленность	219
221	BGF	Биография: искусство и зрелища	217
222	BGFA	Автобиография: искусство и зрелища	221
223	BGH	Биография: история, политика, военное дело	217
224	BGHA	Автобиография: история, политика, военное дело	223
225	BGL	Биография: литература	217
226	BGLA	Автобиография: литература	225
227	BGR	Биография: монархические династии	217
228	BGRA	Автобиография: монархические династии	227
229	BGS	Биография: спорт	217
230	BGSA	Автобиография: спорт	229
231	BGT	Биография: наука, технологии, инженерия	217
232	BGTA	Автобиография: наука, технологии, инженерия	231
233	BGX	Биография: религия и духовенство	217
234	BGXA	Автобиография: религия и духовенство	233
235	BJ	Дневники, письма и журналы	216
236	BM	Мемуары	216
237	BT	Истории, основанные на реальных событиях	216
238	BTC	Реальные преступления	237
239	BTH	Открытия / исторические / научные	237
240	BTM	Войны и сражения	237
241	BTP	Героизм, стойкость и выживание	237
242	BTX	Любовные признания и правдивые истории	237
243	C	Языкознание	1
244	CB	Языки: общая и справочная информация	243
245	CBD	Словари	244
246	CBDX	Двуязычные и многоязычные словари	245
247	CBF	Тезаурусы	244
248	CBG	Грамматические справочники, справочники употребления слов	244
249	CBP	Справочники по риторике	244
250	CBV	Креативное письмо и справочники по нему	244
251	CBVS	Техника написания сценариев	250
252	CBW	Справочники по редактированию и письму	244
253	CBWJ	Справочники по стилям журналистики	252
254	CBWT	Техническое письмо	252
255	CBX	Языкознание: история и работы общего направления	244
256	CF	Лингвистика	243
257	CFA	Философия языка	256
258	CFB	Социальная лингвистика	256
259	CFC	Грамотность	256
260	CFD	Психолингвистика	256
261	CFDC	Обучение языку	260
262	CFDM	Двуязычие и многоязычие	260
263	CFF	Историческое и сравнительное языкознание	256
264	CFFD	Диалект, сленг, жаргон	263
265	CFG	Семантика	256
266	CFH	Фонетика, фонология	256
267	CFK	Грамматика, синтаксис	256
268	CFL	Палеография (история письма)	256
269	CFLA	Системы письма, алфавит	268
270	CFM	Лексикография. Лексикология	256
271	CFP	Переводоведение / Перевод / Интерпретация	256
272	CFX	Компьютерная лингвистика	256
273	CFZ	Языки жестов, язык Брайля и другие способы общения	256
274	CJ	Языки: преподавание и обучение (отличные от ELT)	243
275	CJA	Теория и методы преподавания языков	274
276	CJB	Обучение, обучающие материалы и курсы	274
277	CJBG	Грамматика и словарный запас	276
278	CJBR	Обучение языку: хрестоматии	276
279	CJBT	Обучение языку: самоучители	276
280	CJBV	Обучение языку: аудио-видео и мультимедиа	276
281	CJC	Изучение языков: определенное мастерство	274
282	CJCK	Мастерство речи / произношения	281
283	CJCL	Умение слушать	281
284	CJCR	Умение читать	281
285	CJCW	Умение писать	281
286	D	Литературоведение. Проза. Поэзия. Драма	1
287	DC	Поэзия	286
288	DCF	Поэзия отдельных поэтов	287
289	DCQ	Поэтические сборники / антологии	287
290	DD	Драматургия; сценарии и тексты пьес	286
291	DDS	Пьесы Шекспира	290
292	DN	Проза: non-fiction (нехудожественная лит-ра)	286
293	DNF	Литературные эссе	292
294	DNJ	Репортажи, интервью, сборники журналистики	292
295	DQ	Антологии (не-поэзия)	286
296	DS	Литература: история и критика	286
297	DSA	Теория литературы	296
298	DSB	Литературоведение: общие вопросы	296
299	DSBB	Классика, ранние периоды и средневековье	298
300	DSBD	Литературоведение: с 1500 по 1800гг.	298
301	DSBF	Литературоведение: с 1800 по 1900гг.	298
302	DSBH	Литературоведение: с 1900 по ….	298
303	DSBH5	Литературоведение: постколониальная литература	302
304	DSC	Литературоведение: поэзия и поэты	296
305	DSG	Литературоведение: пьесы и драматурги	296
306	DSGS	Шекспироведение и критицизм	305
307	DSK	Художественная лит-ра, романисты и прозаики	296
308	DSR	Справочники, справочные материалы по литературе	296
309	DSRC	Литературные путеводители (разные вопросы)	308
310	DSY	Изучение детской литературы: общая тематика	296
311	E	Изучение английского языка (ELT)	1
312	EB	ELT: основные и сопутствующие материалы	311
313	EBA	ELT: теория и методология	312
314	EBAL	Прикладная лингвистика для ELT	313
