kind_from	source_from	key_from	relation_kind	kind_to	source_to	key_to
archive_component	knpam.rusneb.ru	002986620	accompanies	instance	rumorgb	002986620
archive_component	knpam.rusneb.ru	002986632	accompanies	instance	rumorgb	002986632
archive_component	knpam.rusneb.ru	002986976	accompanies	instance	rumorgb	002986976
archive_component	knpam.rusneb.ru	002986982	accompanies	instance	rumorgb	002986982
archive_component	knpam.rusneb.ru	002987758	accompanies	instance	rumorgb	002987758
archive_component	knpam.rusneb.ru	002987803	accompanies	instance	rumorgb	002987803
archive_component	knpam.rusneb.ru	002987925	accompanies	instance	rumorgb	002987925
archive_component	knpam.rusneb.ru	002988042	accompanies	instance	rumorgb	002988042
archive_component	knpam.rusneb.ru	002988105	accompanies	instance	rumorgb	002988105
archive_component	knpam.rusneb.ru	002988930	accompanies	instance	rumorgb	002988930
archive_component	knpam.rusneb.ru	002989010	accompanies	instance	rumorgb	002989010
archive_component	knpam.rusneb.ru	003016852	accompanies	instance	rumorgb	003016852
archive_component	knpam.rusneb.ru	003016938	accompanies	instance	rumorgb	003016938
archive_component	knpam.rusneb.ru	003154310	accompanies	instance	rumorgb	003154310
archive_component	knpam.rusneb.ru	003334090	accompanies	instance	rumorgb	003334090
archive_component	knpam.rusneb.ru	003334910	accompanies	instance	rumorgb	003334910
archive_component	knpam.rusneb.ru	003334989	accompanies	instance	rumorgb	003334989
archive_component	knpam.rusneb.ru	003335024	accompanies	instance	rumorgb	003335024
archive_component	knpam.rusneb.ru	003335664	accompanies	instance	rumorgb	003335664
archive_component	knpam.rusneb.ru	003337207	accompanies	instance	rumorgb	003337207
archive_component	knpam.rusneb.ru	003337741	accompanies	instance	rumorgb	003337741
archive_component	knpam.rusneb.ru	003339999	accompanies	instance	rumorgb	003339999
archive_component	knpam.rusneb.ru	003340703	accompanies	instance	rumorgb	003340703
archive_component	knpam.rusneb.ru	003400575	accompanies	instance	rumorgb	003400575
archive_component	knpam.rusneb.ru	003422453	accompanies	instance	rumorgb	003422453
archive_component	knpam.rusneb.ru	003422516	accompanies	instance	rumorgb	003422516
archive_component	knpam.rusneb.ru	003442600	accompanies	instance	rumorgb	003442600
archive_component	knpam.rusneb.ru	003544501	accompanies	instance	rumorgb	003544501
archive_component	knpam.rusneb.ru	003547935	accompanies	instance	rumorgb	003547935
archive_component	knpam.rusneb.ru	003575343	accompanies	instance	rumorgb	003575343
archive_component	knpam.rusneb.ru	003643356	accompanies	instance	rumorgb	003643356
archive_component	knpam.rusneb.ru	003646626	accompanies	instance	rumorgb	003646626
archive_component	knpam.rusneb.ru	003658236	accompanies	instance	rumorgb	003658236
archive_component	knpam.rusneb.ru	003761700	accompanies	instance	rumorgb	003761700
archive_component	knpam.rusneb.ru	003805476	accompanies	instance	rumorgb	003805476
archive_component	knpam.rusneb.ru	003814829	accompanies	instance	rumorgb	003814829
archive_component	knpam.rusneb.ru	003819896	accompanies	instance	rumorgb	003819896
archive_component	knpam.rusneb.ru	003825776	accompanies	instance	rumorgb	003825776
archive_component	knpam.rusneb.ru	004091708	accompanies	instance	rumorgb	004091708
archive_component	knpam.rusneb.ru	004091826	accompanies	instance	rumorgb	004091826
archive_component	knpam.rusneb.ru	004092730	accompanies	instance	rumorgb	004092730
archive_component	knpam.rusneb.ru	004095450	accompanies	instance	rumorgb	004095450
archive_component	knpam.rusneb.ru	004169383	accompanies	instance	rumorgb	004169383
archive_component	knpam.rusneb.ru	004193394	accompanies	instance	rumorgb	004193394
archive_component	knpam.rusneb.ru	004205360	accompanies	instance	rumorgb	004205360
archive_component	knpam.rusneb.ru	004274925	accompanies	instance	rumorgb	004274925
archive_component	knpam.rusneb.ru	004463581	accompanies	instance	rumorgb	004463581
archive_component	knpam.rusneb.ru	004585257	accompanies	instance	rumorgb	004585257
archive_component	knpam.rusneb.ru	004952094	accompanies	instance	rumorgb	004952094
archive_component	knpam.rusneb.ru	005430154	accompanies	instance	rumorgb	005430154
archive_component	knpam.rusneb.ru	005477332	accompanies	instance	rumorgb	005477332
archive_component	knpam.rusneb.ru	005507332	accompanies	instance	rumorgb	005507332
archive_component	knpam.rusneb.ru	005519414	accompanies	instance	rumorgb	005519414
archive_component	knpam.rusneb.ru	006510544	accompanies	instance	rumorgb	006510544
archive_component	knpam.rusneb.ru	006627853	accompanies	instance	rumorgb	006627853
archive_component	knpam.rusneb.ru	008274779	accompanies	instance	rumorgb	008274779
archive_component	knpam.rusneb.ru	008911498	accompanies	instance	rumorgb	008911498
archive_component	knpam.rusneb.ru	008932323	accompanies	instance	rumorgb	008932323
archive_component	knpam.rusneb.ru	009406937	accompanies	instance	rumorgb	009406937
archive_component	knpam.rusneb.ru	009524660	accompanies	instance	rumorgb	009524660
archive_component	knpam.rusneb.ru	009693932	accompanies	instance	rumorgb	009693932
archive_component	knpam.rusneb.ru	009847450	accompanies	instance	rumorgb	009847450
archive_component	knpam.rusneb.ru	009884759	accompanies	instance	rumorgb	009884759
archive_component	knpam.rusneb.ru	009903045	accompanies	instance	rumorgb	009903045
archive_component	knpam.rusneb.ru	009916817	accompanies	instance	rumorgb	009916817
archive_component	knpam.rusneb.ru	009918697	accompanies	instance	rumorgb	009918697
archive_component	knpam.rusneb.ru	009918785	accompanies	instance	rumorgb	009918785
archive_component	knpam.rusneb.ru	009925859	accompanies	instance	rumorgb	009925859
archive_component	knpam.rusneb.ru	009930018	accompanies	instance	rumorgb	009930018
archive_component	knpam.rusneb.ru	009938742	accompanies	instance	rumorgb	009938742
archive_component	knpam.rusneb.ru	009947684	accompanies	instance	rumorgb	009947684
archive_component	knpam.rusneb.ru	009953599	accompanies	instance	rumorgb	009953599
archive_component	knpam.rusneb.ru	009954979	accompanies	instance	rumorgb	009954979
archive_component	knpam.rusneb.ru	009956806	accompanies	instance	rumorgb	009956806
archive_component	knpam.rusneb.ru	009957040	accompanies	instance	rumorgb	009957040
archive_component	knpam.rusneb.ru	009964534	accompanies	instance	rumorgb	009964534
archive_component	knpam.rusneb.ru	009964556	accompanies	instance	rumorgb	009964556
archive_component	knpam.rusneb.ru	009966213	accompanies	instance	rumorgb	009966213
archive_component	knpam.rusneb.ru	009972898	accompanies	instance	rumorgb	009972898
archive_component	knpam.rusneb.ru	009974881	accompanies	instance	rumorgb	009974881
archive_component	knpam.rusneb.ru	009975021	accompanies	instance	rumorgb	009975021
archive_component	knpam.rusneb.ru	009979866	accompanies	instance	rumorgb	009979866
archive_component	knpam.rusneb.ru	009980038	accompanies	instance	rumorgb	009980038
archive_component	knpam.rusneb.ru	009982175	accompanies	instance	rumorgb	009982175
archive_component	knpam.rusneb.ru	009982370	accompanies	instance	rumorgb	009982370
archive_component	knpam.rusneb.ru	009983328	accompanies	instance	rumorgb	009983328
archive_component	knpam.rusneb.ru	009983394	accompanies	instance	rumorgb	009983394
archive_component	knpam.rusneb.ru	009993726	accompanies	instance	rumorgb	009993726
archive_component	knpam.rusneb.ru	010000088	accompanies	instance	rumorgb	010000088
archive_component	knpam.rusneb.ru	010001251	accompanies	instance	rumorgb	010001251
archive_component	knpam.rusneb.ru	010002152	accompanies	instance	rumorgb	010002152
archive_component	knpam.rusneb.ru	010003944	accompanies	instance	rumorgb	010003944
archive_component	knpam.rusneb.ru	010043051	accompanies	instance	rumorgb	010043051
archive_component	knpam.rusneb.ru	010044011	accompanies	instance	rumorgb	010044011
archive_component	knpam.rusneb.ru	010048906	accompanies	instance	rumorgb	010048906
archive_component	knpam.rusneb.ru	010055711	accompanies	instance	rumorgb	010055711
archive_component	knpam.rusneb.ru	010071473	accompanies	instance	rumorgb	010071473
archive_component	knpam.rusneb.ru	010073998	accompanies	instance	rumorgb	010073998
archive_component	knpam.rusneb.ru	010076445	accompanies	instance	rumorgb	010076445
archive_component	knpam.rusneb.ru	010080224	accompanies	instance	rumorgb	010080224
