kind_to	source_to	key_to	relation_kind	kind_from	source_from	key_from	time_source
instance	nlr	010295646	hasItem	item	nlr	010295646	2019-12-17 12:00:00
instance	nlr	004276813	hasItem	item	nlr	004276813	2019-12-17 12:00:00
instance	nlr	011309684	hasItem	item	nlr	011309684	2019-12-17 12:00:00
instance	nlr	011388547	hasItem	item	nlr	011388547	2019-12-17 12:00:00
instance	nlr	011504074	hasItem	item	nlr	011504074	2019-12-17 12:00:00
instance	nlr	011539979	hasItem	item	nlr	011539979	2019-12-17 12:00:00
instance	nlr	011598671	hasItem	item	nlr	011598671	2019-12-17 12:00:00
instance	nlr	011599245	hasItem	item	nlr	011599245	2019-12-17 12:00:00
instance	nlr	011601462	hasItem	item	nlr	011601462	2019-12-17 12:00:00
instance	nlr	011611096	hasItem	item	nlr	011611096	2019-12-17 12:00:00
instance	nlr	011616175	hasItem	item	nlr	011616175	2019-12-17 12:00:00
instance	nlr	011621701	hasItem	item	nlr	011621701	2019-12-17 12:00:00
instance	nlr	011629694	hasItem	item	nlr	011629694	2019-12-17 12:00:00
instance	nlr	011638461	hasItem	item	nlr	011638461	2019-12-17 12:00:00
instance	nlr	011769689	hasItem	item	nlr	011769689	2019-12-17 12:00:00
instance	nlr	011769743	hasItem	item	nlr	011769743	2019-12-17 12:00:00
instance	nlr	011795349	hasItem	item	nlr	011795349	2019-12-17 12:00:00
instance	nlr	011795428	hasItem	item	nlr	011795428	2019-12-17 12:00:00
instance	nlr	011795525	hasItem	item	nlr	011795525	2019-12-17 12:00:00
instance	nlr	011795890	hasItem	item	nlr	011795890	2019-12-17 12:00:00
instance	nlr	011795961	hasItem	item	nlr	011795961	2019-12-17 12:00:00
instance	nlr	011798394	hasItem	item	nlr	011798394	2019-12-17 12:00:00
instance	nlr	011798408	hasItem	item	nlr	011798408	2019-12-17 12:00:00
instance	nlr	011798593	hasItem	item	nlr	011798593	2019-12-17 12:00:00
instance	nlr	011807870	hasItem	item	nlr	011807870	2019-12-17 12:00:00
instance	nlr	011808694	hasItem	item	nlr	011808694	2019-12-17 12:00:00
instance	nlr	011813445	hasItem	item	nlr	011813445	2019-12-17 12:00:00
instance	nlr	011813479	hasItem	item	nlr	011813479	2019-12-17 12:00:00
instance	nlr	011813494	hasItem	item	nlr	011813494	2019-12-17 12:00:00
instance	nlr	011813506	hasItem	item	nlr	011813506	2019-12-17 12:00:00
instance	nlr	011824901	hasItem	item	nlr	011824901	2019-12-17 12:00:00
instance	nlr	011825373	hasItem	item	nlr	011825373	2019-12-17 12:00:00
instance	nlr	011836435	hasItem	item	nlr	011836435	2019-12-17 12:00:00
instance	nlr	011839956	hasItem	item	nlr	011839956	2019-12-17 12:00:00
instance	nlr	011842059	hasItem	item	nlr	011842059	2019-12-17 12:00:00
instance	nlr	011842093	hasItem	item	nlr	011842093	2019-12-17 12:00:00
instance	nlr	011849421	hasItem	item	nlr	011849421	2019-12-17 12:00:00
instance	nlr	011849429	hasItem	item	nlr	011849429	2019-12-17 12:00:00
instance	nlr	011859587	hasItem	item	nlr	011859587	2019-12-17 12:00:00
instance	nlr	011868120	hasItem	item	nlr	011868120	2019-12-17 12:00:00
instance	nlr	011879627	hasItem	item	nlr	011879627	2019-12-17 12:00:00
instance	nlr	011986195	hasItem	item	nlr	011986195	2019-12-17 12:00:00
instance	nlr	011986310	hasItem	item	nlr	011986310	2019-12-17 12:00:00
instance	nlr	011986468	hasItem	item	nlr	011986468	2019-12-17 12:00:00
instance	nlr	011986913	hasItem	item	nlr	011986913	2019-12-17 12:00:00
instance	nlr	011986917	hasItem	item	nlr	011986917	2019-12-17 12:00:00
instance	nlr	011988991	hasItem	item	nlr	011988991	2019-12-17 12:00:00
instance	nlr	011989147	hasItem	item	nlr	011989147	2019-12-17 12:00:00
instance	nlr	011989152	hasItem	item	nlr	011989152	2019-12-17 12:00:00
instance	nlr	011989647	hasItem	item	nlr	011989647	2019-12-17 12:00:00
instance	nlr	011989683	hasItem	item	nlr	011989683	2019-12-17 12:00:00
instance	nlr	011990870	hasItem	item	nlr	011990870	2019-12-17 12:00:00
instance	nlr	011991004	hasItem	item	nlr	011991004	2019-12-17 12:00:00
instance	nlr	012003939	hasItem	item	nlr	012003939	2019-12-17 12:00:00
instance	nlr	012005153	hasItem	item	nlr	012005153	2019-12-17 12:00:00
instance	nlr	012005865	hasItem	item	nlr	012005865	2019-12-17 12:00:00
instance	nlr	012006799	hasItem	item	nlr	012006799	2019-12-17 12:00:00
instance	nlr	012015105	hasItem	item	nlr	012015105	2019-12-17 12:00:00
instance	nlr	012018559	hasItem	item	nlr	012018559	2019-12-17 12:00:00
instance	nlr	012018592	hasItem	item	nlr	012018592	2019-12-17 12:00:00
instance	nlr	012020376	hasItem	item	nlr	012020376	2019-12-17 12:00:00
instance	nlr	012025510	hasItem	item	nlr	012025510	2019-12-17 12:00:00
