key_to	source_to	time_sys	kind_to	relation_kind	kind_from	source_from	key_from
/kp/rumorgb/rsl01002405534.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002405534
/kp/rumorgb/rsl01002919496.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002919496
/kp/rumorgb/rsl01002981088.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002981088
/kp/rumorgb/rsl01002986320.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986320
/kp/rumorgb/rsl01002986321.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986321
/kp/rumorgb/rsl01002986323.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986323
/kp/rumorgb/rsl01002986324.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986324
/kp/rumorgb/rsl01002986327.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986327
/kp/rumorgb/rsl01002986328.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986328
/kp/rumorgb/rsl01002986331.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986331
/kp/rumorgb/rsl01002986332.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986332
/kp/rumorgb/rsl01002986335.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986335
/kp/rumorgb/rsl01002986336.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986336
/kp/rumorgb/rsl01002986337.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986337
/kp/rumorgb/rsl01002986341.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986341
/kp/rumorgb/rsl01002986352.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986352
/kp/rumorgb/rsl01002986353.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986353
/kp/rumorgb/rsl01002986357.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986357
/kp/rumorgb/rsl01002986361.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986361
/kp/rumorgb/rsl01002986362.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986362
/kp/rumorgb/rsl01002986363.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986363
/kp/rumorgb/rsl01002986365.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986365
/kp/rumorgb/rsl01002986366.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986366
/kp/rumorgb/rsl01002986367.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986367
/kp/rumorgb/rsl01002986368.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986368
/kp/rumorgb/rsl01002986376.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986376
/kp/rumorgb/rsl01002986382.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986382
/kp/rumorgb/rsl01002986383.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986383
/kp/rumorgb/rsl01002986384.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986384
/kp/rumorgb/rsl01002986386.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986386
/kp/rumorgb/rsl01002986387.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986387
/kp/rumorgb/rsl01002986388.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986388
/kp/rumorgb/rsl01002986390.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986390
/kp/rumorgb/rsl01002986391.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986391
/kp/rumorgb/rsl01002986393.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986393
/kp/rumorgb/rsl01002986397.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986397
/kp/rumorgb/rsl01002986398.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986398
/kp/rumorgb/rsl01002986401.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986401
/kp/rumorgb/rsl01002986403.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986403
/kp/rumorgb/rsl01002986407.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986407
/kp/rumorgb/rsl01002986408.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986408
/kp/rumorgb/rsl01002986409.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986409
/kp/rumorgb/rsl01002986417.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986417
/kp/rumorgb/rsl01002986422.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986422
/kp/rumorgb/rsl01002986426.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986426
/kp/rumorgb/rsl01002986428.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986428
/kp/rumorgb/rsl01002986430.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986430
/kp/rumorgb/rsl01002986435.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986435
/kp/rumorgb/rsl01002986436.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986436
/kp/rumorgb/rsl01002986437.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986437
/kp/rumorgb/rsl01002986441.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986441
/kp/rumorgb/rsl01002986442.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986442
/kp/rumorgb/rsl01002986445.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986445
