kind	source	key	record.stock_number	record.shelving_number	time_source
item	rumorgb	009932367	143087-О	G 7/11a	2019-12-17 12:00:00
item	rumorgb	009932356	143086-О	G 7/11a	2019-12-17 12:00:00
item	rumorgb	006670033	143069-О	G 7/11a	2019-12-17 12:00:00
item	rumorgb	009987459	17522-И	G 2/26	2019-12-17 12:00:00
item	rumorgb	009987466	17523-И	G 2/26	2019-12-17 12:00:00
item	rumorgb	003389562	17521-И	G 2/26	2019-12-17 12:00:00
item	rumorgb	003828140	143066-О	F 70/124	2019-12-17 12:00:00
item	rumorgb	003828139	143067-О	F 70/124	2019-12-17 12:00:00
item	rumorgb	003828138	143068-О	Кл 67/545	2019-12-17 12:00:00
item	rumorgb	003819777	13937-O	G 13/44	2019-12-17 12:00:00
item	rumorgb	003819776	13938-O	G 13/44	2019-12-17 12:00:00
item	rumorgb	003819893	143010-О	G 21/82	2019-12-17 12:00:00
item	rumorgb	003819896	143007-О	G 21/82	2019-12-17 12:00:00
item	rumorgb	003819895	143008-О	G 21/82	2019-12-17 12:00:00
item	rumorgb	003819894	143009-О	G 21/82	2019-12-17 12:00:00
item	rumorgb	003821253	13913-O	G 6/41	2019-12-17 12:00:00
item	rumorgb	003821252	13914-O	G 6/41	2019-12-17 12:00:00
item	rumorgb	003821251	13912-O	G 6/41	2019-12-17 12:00:00
item	rumorgb	003822954	143079-О	U 384/73	2019-12-17 12:00:00
item	rumorgb	003823712	143082-О	U 306/150	2019-12-17 12:00:00
item	rumorgb	003823815	143074-О	A 129/49	2019-12-17 12:00:00
item	rumorgb	003823855	143075-О	G 7/28	2019-12-17 12:00:00
item	rumorgb	003823853	143076-О	G 7/28	2019-12-17 12:00:00
item	rumorgb	010078000		MK XII.A.13 б/8	2019-12-17 12:00:00
item	rumorgb	010077995		MK XII.A.13 б/8	2019-12-17 12:00:00
item	rumorgb	010077990		MK XII.A.13 б/8	2019-12-17 12:00:00
item	rumorgb	010077980		МК XII.А.13 б/8	2019-12-17 12:00:00
item	rumorgb	003824272	13950-O	P 44/24	2019-12-17 12:00:00
item	rumorgb	003824271	13951-O	P 44/24	2019-12-17 12:00:00
item	rumorgb	003825178	13917-O	G 2/38	2019-12-17 12:00:00
item	rumorgb	003825177	13918-O	G 2/38	2019-12-17 12:00:00
item	rumorgb	003825176	13919-O	G 2/38	2019-12-17 12:00:00
item	rumorgb	003825175	13920-O	G 2/38	2019-12-17 12:00:00
item	rumorgb	003825487	13939-O	G 12/144	2019-12-17 12:00:00
item	rumorgb	003825486	13940-O	G 12/144	2019-12-17 12:00:00
item	rumorgb	003825516	13916-O	G 2/18	2019-12-17 12:00:00
item	rumorgb	003825517	13915-O	G 2/18	2019-12-17 12:00:00
item	rumorgb	003825776	13927-O	P 50/291	2019-12-17 12:00:00
item	rumorgb	003825775	13928-O	P 50/291	2019-12-17 12:00:00
item	rumorgb	003825820	143017-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825823	143014-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825816	143021-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825822	143015-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825821	143016-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825819	143018-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825818	143019-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825817	143020-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825815	143022-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825814	143023-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003825813	143024-О	G 23/49	2019-12-17 12:00:00
item	rumorgb	003829244	13942-O	G 48/13	2019-12-17 12:00:00
item	rumorgb	003829243	13943-O	G 48/13	2019-12-17 12:00:00
item	rumorgb	003829242	13944-O	G 48/13	2019-12-17 12:00:00
item	rumorgb	003829241	13945-O	G 48/13	2019-12-17 12:00:00
item	rumorgb	003829240	13946-O	G 48/13	2019-12-17 12:00:00
item	rumorgb	003829431	24161-45	U 319/139	2019-12-17 12:00:00
item	rumorgb	003830674	13926-O	? 179/41	2019-12-17 12:00:00
item	rumorgb	003863041	143055-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863039	143057-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863053	143045-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863037	143059-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863042	143054-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863055	143043-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863054	143044-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863052	143046-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863051	143047-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863050	143048-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863047	143049-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863046	13933-O	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863045	143051-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863044	143052-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863043	143053-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863040	143056-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863038	143058-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863036	143060-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863035	143061-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863034	143062-О	U 262/8	2019-12-17 12:00:00
item	rumorgb	003863033	143063-О	U 262/8	2019-12-17 12:00:00
