### Table 3 -- Other Text Type Code for <d102>

Code	Code Description	MARC 21 Data Equivalent	ind1	ind2	subfield
01	Main description	520	2	#	$a
02	Short description/annotation	520	2	#	$a
03	Long description	520	#	#	$b
04	Table of contents	505			
07	Review Text	520	1	#	$a
08	Review quote	520	1	#	$a
09	Promotional 'headline'				
10	Previous review quote	520	1	#	$a
11	Author comments				
12	Description for reader	520	2	#	$a
13	Biographical note	545			
14	Description for Reading Group Guide	520	2	#	$a
15	Discussion question for Reading Group Guide				
16	Competing titles				
17	Flap copy	500	#	#	$a
18	Back cover copy	500	#	#	$a
23	Excerpt from book	500	#	#	$a
24	First chapter				
25	Description for sales people	520	2	#	$a
26	Description for press or other media	520	2	#	$a
27	Description for subsidiary rights department	520	2	#	$a
28	Description for teachers/educators	520	2	#	$a
30	Unpublished endorsement	500	#	#	$a
31	Description for bookstore	500	#	#	$a
32	Description for library	520	2	#	$a
33	Introduction or preface	500	#	#	$a
34	Full text				
