i18n.ru                                            	ISO_3166-1.Alpha-2	ISO_3166-1.Alpha-3	ISO_3166-1	ISO_3166-2
Австралия                                          	AU                	AUS               	36        	AU
Австрия                                            	AT                	AUT               	40        	AT
Азербайджан                                        	AZ                	AZE               	31        	AZ
Аландские острова                                  	AX                	ALA               	248       	AX
Албания                                            	AL                	ALB               	8         	AL
Алжир                                              	DZ                	DZA               	12        	DZ
Виргинские Острова (США)                           	VI                	VIR               	850       	VI
Американское Самоа                                 	AS                	ASM               	16        	AS
Ангилья                                            	AI                	AIA               	660       	AI
Ангола                                             	AO                	AGO               	24        	AO
Андорра                                            	AD                	AND               	20        	AD
Антарктида                                         	AQ                	ATA               	10        	AQ
Антигуа и Барбуда                                  	AG                	ATG               	28        	AG
Аргентина                                          	AR                	ARG               	32        	AR
Армения                                            	AM                	ARM               	51        	AM
Аруба                                              	AW                	ABW               	533       	AW
Афганистан                                         	AF                	AFG               	4         	AF
Багамские Острова                                  	BS                	BHS               	44        	BS
Бангладеш                                          	BD                	BGD               	50        	BD
Барбадос                                           	BB                	BRB               	52        	BB
Бахрейн                                            	BH                	BHR               	48        	BH
Белиз                                              	BZ                	BLZ               	84        	BZ
Белоруссия                                         	BY                	BLR               	112       	BY
Бельгия                                            	BE                	BEL               	56        	BE
Бенин                                              	BJ                	BEN               	204       	BJ
Бермуды                                            	BM                	BMU               	60        	BM
Болгария                                           	BG                	BGR               	100       	BG
Боливия                                            	BO                	BOL               	68        	BO
Бонэйр, Синт-Эстатиус и Саба                       	BQ                	BES               	535       	BQ
Босния и Герцеговина                               	BA                	BIH               	70        	BA
Ботсвана                                           	BW                	BWA               	72        	BW
Бразилия                                           	BR                	BRA               	76        	BR
Британская территория в Индийском океане           	IO                	IOT               	86        	IO
Виргинские Острова (Великобритания)                	VG                	VGB               	92        	VG
Бруней                                             	BN                	BRN               	96        	BN
Буркина-Фасо                                       	BF                	BFA               	854       	BF
Бурунди                                            	BI                	BDI               	108       	BI
Бутан                                              	BT                	BTN               	64        	BT
Вануату                                            	VU                	VUT               	548       	VU
Ватикан                                            	VA                	VAT               	336       	VA
Великобритания                                     	GB                	GBR               	826       	GB
Венгрия                                            	HU                	HUN               	348       	HU
Венесуэла                                          	VE                	VEN               	862       	VE
Внешние малые острова (США)                        	UM                	UMI               	581       	UM
Восточный Тимор                                    	TL                	TLS               	626       	TL
Вьетнам                                            	VN                	VNM               	704       	VN
Габон                                              	GA                	GAB               	266       	GA
Гаити                                              	HT                	HTI               	332       	HT
Гайана                                             	GY                	GUY               	328       	GY
Гамбия                                             	GM                	GMB               	270       	GM
Гана                                               	GH                	GHA               	288       	GH
Гваделупа                                          	GP                	GLP               	312       	GP
Гватемала                                          	GT                	GTM               	320       	GT
Гвиана                                             	GF                	GUF               	254       	GF
Гвинея                                             	GN                	GIN               	324       	GN
Гвинея-Бисау                                       	GW                	GNB               	624       	GW
Германия                                           	DE                	DEU               	276       	DE
Гернси                                             	GG                	GGY               	831       	GG
Гибралтар                                          	GI                	GIB               	292       	GI
Гондурас                                           	HN                	HND               	340       	HN
Гонконг                                            	HK                	HKG               	344       	HK
Гренада                                            	GD                	GRD               	308       	GD
Гренландия                                         	GL                	GRL               	304       	GL
Греция                                             	GR                	GRC               	300       	GR
Грузия                                             	GE                	GEO               	268       	GE
Гуам                                               	GU                	GUM               	316       	GU
Дания                                              	DK                	DNK               	208       	DK
Джерси                                             	JE                	JEY               	832       	JE
Джибути                                            	DJ                	DJI               	262       	DJ
Доминика                                           	DM                	DMA               	212       	DM
Доминиканская Республика                           	DO                	DOM               	214       	DO
ДР Конго                                           	CD                	COD               	180       	CD
Европейский союз                                   	EU                	                  	          	EU
Египет                                             	EG                	EGY               	818       	EG
Замбия                                             	ZM                	ZMB               	894       	ZM
САДР                                               	EH                	ESH               	732       	EH
Зимбабве                                           	ZW                	ZWE               	716       	ZW
Израиль                                            	IL                	ISR               	376       	IL
Индия                                              	IN                	IND               	356       	IN
Индонезия                                          	ID                	IDN               	360       	ID
Иордания                                           	JO                	JOR               	400       	JO
Ирак                                               	IQ                	IRQ               	368       	IQ
Иран                                               	IR                	IRN               	364       	IR
Ирландия                                           	IE                	IRL               	372       	IE
Исландия                                           	IS                	ISL               	352       	IS
Испания                                            	ES                	ESP               	724       	ES
Италия                                             	IT                	ITA               	380       	IT
Йемен                                              	YE                	YEM               	887       	YE
Кабо-Верде                                         	CV                	CPV               	132       	CV
Казахстан                                          	KZ                	KAZ               	398       	KZ
Острова Кайман                                     	KY                	CYM               	136       	KY
Камбоджа                                           	KH                	KHM               	116       	KH
Камерун                                            	CM                	CMR               	120       	CM
Канада                                             	CA                	CAN               	124       	CA
Катар                                              	QA                	QAT               	634       	QA
Кения                                              	KE                	KEN               	404       	KE
Кипр                                               	CY                	CYP               	196       	CY
